Name,Homepage
"copilot-money","https://copilot.money/"
"coq-platform","https://rocq-prover.org/"
"cork","https://corkmac.app/"
"coteditor","https://coteditor.com/"
"couchbase-server-community","https://www.couchbase.com/"
"cpu-info","https://github.com/kamgurgul/cpu-info"
"craft","https://www.craft.do/"
"cursor","https://www.cursor.com/"
"cursor-cli","https://cursor.com/"
"customshortcuts","https://www.houdah.com/customShortcuts/"
"cutter","https://cutter.re/"
"cyberduck","https://cyberduck.io/"
"daisydisk","https://daisydiskapp.com/"
"dangerzone","https://dangerzone.rocks/"
"daruma","https://kadomaru.app/daruma/"
"datweatherdoe","https://github.com/inderdhir/DatWeatherDoe"
"db-browser-for-sqlite","https://sqlitebrowser.org/"
"dbeaver-community","https://dbeaver.io/"
"dbgate","https://dbgate.org/"
"dbngin","https://dbngin.com/"
"deadbolt","https://github.com/alichtman/deadbolt"
"deeper","https://www.titanium-software.fr/en/deeper.html"
"defold","https://defold.com/"
"detectx-swift","https://sqwarq.com/detectx/"
"devkinsta","https://devkinsta.com/"
"devpod","https://devpod.sh/"
"devtoys","https://github.com/DevToys-app/DevToys"
"dexed","https://asb2m10.github.io/dexed/"
"dhs","https://objective-see.org/products/dhs.html"
"diagnostics","https://github.com/macmade/Diagnostics"
"diffusionbee","https://diffusionbee.com/"
"digital","https://github.com/hneemann/Digital"
"dintch","https://eclecticlight.co/dintch"
"discord","https://discord.com/"
"djv","https://grizzlypeak3d.github.io/DJV/"
"dnsmonitor","https://objective-see.org/products/utilities.html#DNSMonitor"
"docker-desktop","https://www.docker.com/products/docker-desktop"
"donut","https://donutbrowser.com/"
"dorso","https://github.com/tldev/dorso"
"dotnet-sdk","https://www.microsoft.com/net/core#macos"
"doughnut","https://github.com/dyerc/Doughnut/"
"drawbot","https://www.drawbot.com/"
"drawio","https://www.diagrams.net/"
"drawpen","https://github.com/DmytroVasin/DrawPen"
"dropbox@beta","https://www.dropboxforum.com/t5/Dropbox-desktop-client-builds/bd-p/101003016"
"duckduckgo","https://duckduckgo.com/"
"ea","https://www.ea.com/ea-app"
"easyfind","https://www.devontechnologies.com/apps/freeware"
"ebmac","https://ebstudio.info/manual/EBMac/"
"eclipse-platform","https://eclipse.org/"
"effect-house","https://effecthouse.tiktok.com/"
"elan","https://archive.mpi.nl/tla/elan"
"elasticvue","https://elasticvue.com/"
"electerm","https://electerm.html5beta.com/"
"electron-fiddle","https://www.electronjs.org/fiddle"
"emdash","https://www.emdash.sh/"
"emojipedia","https://github.com/gingerbeardman/Emojipedia"
"epic-games","https://www.epicgames.com/"
"equinox","https://equinoxmac.com/"
"espanso","https://espanso.org/"
"etrecheckpro","https://etrecheck.com/"
"eul","https://github.com/gao-sun/eul"
"evernote","https://evernote.com/"
"exelearning","https://exelearning.net/"
"exifrenamer","https://www.qdev.de/?location=mac/exifrenamer&forcelang=en"
"fabric-app","https://fabric.so/"
"fastdmg","https://sveinbjorn.org/fastdmg"
"fbreader","https://fbreader.org/macos/"
"fedistar","https://fedistar.net/"
"feedflow","https://www.feedflow.dev/"
"fidelity-trader+","https://www.fidelity.com/trading/advanced-trading-tools/active-trader-pro/overview"
"figma","https://www.figma.com/"
"fiji","https://fiji.sc/"
"filemonitor","https://objective-see.org/products/utilities.html#FileMonitor"
"finch","https://github.com/runfinch/finch"
"firealpaca","https://firealpaca.com/"
"firefox","https://www.mozilla.org/firefox/"
"flacon","https://flacon.github.io/"
"fldigi","https://www.w1hkj.org/"
"flightgear","https://www.flightgear.org/"
"floorp","https://floorp.app/"
"flowvision","https://flowvision.app/"
"flrig","https://www.w1hkj.org/"
"flutter","https://flutter.dev/"
"flux-app","https://justgetflux.com/"
"flycut","https://github.com/TermiT/Flycut"
"focu","https://focu.app/"
"foks","https://foks.pub/"
"font-meslo-for-powerlevel10k","https://github.com/romkatv/powerlevel10k-media"
"font-new-york","https://developer.apple.com/fonts/"
"font-sf-compact","https://developer.apple.com/fonts/"
"font-sf-mono","https://developer.apple.com/fonts/"
"font-sf-pro","https://developer.apple.com/fonts/"
"fontbase","https://fontba.se/"
"fontgoggles","https://fontgoggles.org/"
"fontra-pak","https://fontra.xyz/"
"foobar2000","https://www.foobar2000.org/mac"
"forecast","https://overcast.fm/forecast"
"freac","https://www.freac.org/"
"free-podcast-transcription","https://freepodcasttranscription.com/"
"free-ruler","https://www.pascal.com/freeruler"
"free42-binary","https://thomasokken.com/free42/"
"free42-decimal","https://thomasokken.com/free42/"
"freecad","https://www.freecad.org/"
"freefilesync","https://freefilesync.org/"
"freelens","https://freelens.app/"
"freeplane","https://docs.freeplane.org/"
"freeshow","https://freeshow.app/"
"frescobaldi","https://frescobaldi.org/"
"fsnotes","https://fsnot.es/"
"funter","https://nektony.com/products/funter"
"furtherance","https://furtherance.app/"
"fuwari","https://fuwari-app.com/"
"ganttproject","https://www.ganttproject.biz/"
"gaphor","https://gaphor.org/"
"gargoyle","https://github.com/garglk/garglk"
"gcloud-cli","https://cloud.google.com/cli/"
"geany","https://www.geany.org/"
"geoda","https://geodacenter.github.io/"
"geomap","https://www.geomapapp.org/"
"geotag","https://www.snafu.org/GeoTag/"
"get-iplayer-automator","https://github.com/Ascoware/get-iplayer-automator"
"gg","https://github.com/gulbanana/gg"
"ghostty","https://ghostty.org/"
"gimp","https://www.gimp.org/"
"gitahead","https://github.com/gitahead/gitahead"
"gitbutler","https://gitbutler.com/"
"gitfiend","https://gitfiend.com/"
"gitfit","https://git-fit.app/"
"github","https://desktop.github.com/"
"github-copilot-for-xcode","https://github.com/github/CopilotForXcode"
"gitlight","https://gitlight.app/"
"gitup-app","https://gitup.co/"
"gitx","https://github.com/gitx/gitx"
"glaze-app","https://glaze.cs.uchicago.edu/index.html"
"gluemotion","https://neededapps.com/gluemotion/"
"gns3","https://www.gns3.com/"
"gnucash","https://www.gnucash.org/"
"go64","https://www.stclairsoft.com/Go64/"
"gogs","https://gogs.io/"
"golly","https://golly.sourceforge.io/"
"google-ads-editor","https://ads.google.com/home/tools/ads-editor/"
"google-chrome","https://www.google.com/chrome/"
"google-drive","https://www.google.com/drive/"
"google-trends","https://trends.google.com/trends/hottrends/visualize"
"goxel","https://goxel.xyz/"
"gpgfrontend","https://gpgfrontend.bktus.com/"
"gplates","https://www.gplates.org/"
"gqrx","https://www.gqrx.dk/"
"gram","https://gram.liten.app/"
"gramps","https://gramps-project.org/blog/"
"grandperspective","https://grandperspectiv.sourceforge.net/"
"greenfoot","https://www.greenfoot.org/home"
"gretl","https://gretl.sourceforge.net/"
"gridtracker2","https://gridtracker.org/"
"gyroflow","https://gyroflow.xyz/"
"halloy","https://halloy.chat/"
"hammerspoon","https://www.hammerspoon.org/"
"handbrake-app","https://handbrake.fr/"
"hdfview","https://www.hdfgroup.org/download-hdfview/"
"helio","https://helio.fm/"
"helium-browser","https://helium.computer/"
"heroic","https://github.com/Heroic-Games-Launcher/HeroicGamesLauncher/"
"hex-fiend","https://ridiculousfish.com/hexfiend/"
"heynote","https://heynote.com/"
"hiddenbar","https://github.com/dwarvesf/hidden/"
"hidock","https://hidock.app/"
"home-assistant","https://companion.home-assistant.io/"
"horos","https://horosproject.org/"
