Name,Homepage
"sourcegit","https://github.com/sourcegit-scm/sourcegit"
"squirrel-app","https://rime.im/"
"start","https://start.qq.com/"
"steam-plus-plus","https://steampp.net/"
"sunlogincontrol","https://sunlogin.oray.com/"
"swama","https://github.com/Trans-N-ai/swama"
"switchhosts","https://switchhosts.vercel.app/"
"switchkey","https://github.com/itsuhane/SwitchKey"
"taobao","https://pc.taobao.com/"
"taphouse","https://taphouse.multimodalsolutions.gr/"
"tencent-lemon","https://lemon.qq.com/"
"tencent-meeting","https://meeting.tencent.com/"
"tencent-ugit","https://ugit.qq.com/"
"termora","https://github.com/TermoraDev/termora"
"ths","https://download.10jqka.com.cn/free/mac"
"thunder","https://www.xunlei.com/"
"trae-cn","https://www.trae.com.cn/"
"trae","https://www.trae.ai/"
"ui-tars","https://github.com/bytedance/UI-TARS-desktop"
"usmart-trade","https://www.usmartglobal.com/"
"utools","https://www.u-tools.cn/"
"uu-booster","https://uu.163.com/down/mac/"
"uuremote","https://uuyc.163.com/"
"vbrokers","https://www.vbkr.com/"
"videofusion","https://www.capcut.cn/"
"viso","https://getviso.app/"
"visual-paradigm-ce","https://www.visual-paradigm.com/"
"visual-paradigm","https://www.visual-paradigm.com/"
"wechat","https://mac.weixin.qq.com/"
"wechatwebdevtools","https://developers.weixin.qq.com/miniprogram/dev/devtools/download.html"
"wechatwork","https://work.weixin.qq.com/"
"wiznote","https://www.wiz.cn/"
"wolai","https://www.wolai.com/"
"wpsoffice-cn","https://mac.wps.cn/"
"wpsoffice","https://www.wps.com/mac/"
"xcodepilot","https://xcodepilot.thriller.fun/docs/"
"xiaomi-cloud","https://i.mi.com/"
"ximalaya","https://www.ximalaya.com/"
"xlplayer","https://video.xunlei.com/mac.html"
"xtool-studio","https://www.xtool.com/pages/software"
"yakit","https://github.com/yaklang/yakit"
"yealink-meeting","https://www.ylyun.com/portal/pc/Download"
"yingfu-online","https://online.yingfu.com.cn/pc-official-website/index.html"
"yinxiangbiji","https://www.yinxiang.com/"
"youdaodict","https://cidian.youdao.com/index-mac.html"
"youdaonote","https://note.youdao.com/"
"youku","https://youku.com/product/index"
"yuanbao","https://yuanbao.tencent.com/"
"yuque","https://www.yuque.com/"
"zedis","https://github.com/vicanso/zedis"
"zspace","https://www.zspace.cn/"
